name,dataset,tr_mse,tr_r2,tr_mae,tr_rmse,dataset2,val_mse,val_r2,val_mae,val_rmse,dataset3,te_mse,te_r2,te_mae,te_rmse,name,dataset,gen_mse,gen_r2,gen_mae,gen_rmse
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_1_1_177,Train,0.20733316,0.958071335976394,0.37069488,0.45691743,Validation,2.4095688,0.449689545077296,1.2536751,1.5502939,Test,5.002298,0.181915697330604,1.7127384,2.234921,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_1_1_177,Generalisation,3.7805767,0.047347650909519,1.5683678,1.9443712
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_1_2_108,Train,0.008926344,0.998024107618194,0.08577611,0.09257031,Validation,5.1619964,-0.003257391388503,1.922805,2.241289,Test,5.363487,-0.145603528625745,1.8943442,2.316513,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_1_2_108,Generalisation,4.4007382,-0.108882809628372,1.6912124,2.0977924
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_1_3_120,Train,0.216933,0.957319519618079,0.37574598,0.46637446,Validation,2.647529,0.192033196788918,1.2452974,1.605097,Test,5.42586,0.122038534397806,2.0345407,2.3409293,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_1_3_120,Generalisation,4.5287986,-0.141197011073818,1.7221352,2.1281023
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_1_4_21,Train,0.15237941,0.967832674159765,0.32155517,0.3914108,Validation,4.7331705,0.331332299190231,1.7380586,2.182972,Test,4.0726395,0.302257730154157,1.6102958,2.0204155,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_1_4_21,Generalisation,3.79576,0.043476256660631,1.566001,1.9481951
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_1_5_101,Train,0.021141818,0.996075535786536,0.13024749,0.14654616,Validation,3.5809093,0.09020653081679,1.466797,1.890882,Test,4.511969,0.071491131993465,1.7521478,2.1381352,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_1_5_101,Generalisation,4.6270866,-0.166088052595033,1.7343858,2.1510773
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_2_1_241,Train,0.07795934,0.984160664923325,0.22343855,0.2796358,Validation,3.680935,0.399915451844115,1.6960671,1.917249,Test,4.431497,0.03940462410677,1.8349701,2.106423,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_2_1_241,Generalisation,3.7583377,0.052872991657182,1.5354306,1.9385985
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_2_2_108,Train,0.042992283,0.990940018607004,0.1622141,0.20816992,Validation,5.792883,0.202556601768557,2.012111,2.4044669,Test,4.2719464,0.185600003470923,1.6190305,2.0708914,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_2_2_108,Generalisation,3.5383744,0.108316006266466,1.4915818,1.8811473
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_2_3_68,Train,0.032942224,0.993309136193539,0.14636634,0.18072796,Validation,3.902262,0.419342483529158,1.6000197,1.9785012,Test,2.8623607,0.279355661040531,1.3590621,1.6941912,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_2_3_68,Generalisation,3.5533314,0.104601017549693,1.4942937,1.8849607
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_2_4_70,Train,0.13834171,0.973286059645984,0.31641197,0.3718349,Validation,2.9709804,0.31975627079473,1.2962247,1.7251769,Test,4.5341444,0.037544832110315,1.7566907,2.133577,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_2_4_70,Generalisation,3.598234,0.093163237460398,1.5036929,1.8971605
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_2_5_8,Train,0.05387563,0.989392329928029,0.18302639,0.2327607,Validation,4.193766,0.223533563434913,1.738923,2.0497859,Test,3.512345,0.171063017992638,1.5658189,1.8762406,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_2_5_8,Generalisation,3.5682614,0.100777684622763,1.4932594,1.8892928
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_3_1_178,Train,0.1195336,0.975069876037405,0.25986204,0.3457636,Validation,4.2782736,0.250610597874447,1.7023604,2.0686266,Test,5.615803,0.068882685957454,1.9447243,2.3679883,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_3_1_178,Generalisation,3.712334,0.064362529215756,1.523934,1.9268993
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_3_2_25,Train,0.21879524,0.958898114158531,0.36597642,0.46728155,Validation,2.84751,-0.111878500535685,1.3747705,1.6867328,Test,3.4407089,0.364986990574355,1.5383085,1.8517406,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_3_2_25,Generalisation,3.8718874,0.024273177329389,1.5496708,1.9677423
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_3_3_220,Train,0.13908069,0.971944772370452,0.29120407,0.37218076,Validation,4.5874033,0.166928849540074,1.7426805,2.1427882,Test,4.3643265,0.152731718024281,1.7412548,2.0916824,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_3_3_220,Generalisation,3.830047,0.034806786028835,1.55162,1.9572784
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_3_4_65,Train,0.17399561,0.967691312529984,0.3213182,0.41664988,Validation,3.0617914,0.064813187380012,1.4118036,1.7502251,Test,4.8118343,-0.262624988193062,1.7829479,2.1954064,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_3_4_65,Generalisation,4.2152176,-0.062395905317889,1.618582,2.053226
2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_3_5_3,Train,0.21476988,0.958231749897734,0.35847998,0.4624443,Validation,4.1787186,0.04382674675053,1.6014937,2.0408707,Test,3.417783,0.323282113890139,1.462423,1.8517385,2021_PDBBind_core_augmented_div4_normalised.hdf5_-logKd_over_Ki_2021_03_09_NEW_YAED4head_Core_Exp1_3_5_3,Generalisation,3.9096508,0.014779461727746,1.5708214,1.9773691
